,url,city,city2,name_hotel,score,coordinates,text_description
0,https://www.booking.com/hotel/fr/hotel-celine.fr.html,Rouen,,Hôtel Céline - Hôtel de la Gare,"8,0","1.06252587352748,49.4310680988023,1.11789547885899,49.4669989319485","[""L'Hôtel Céline - Hôtel de la Gare se trouve dans une rue calme du centre-ville de Rouen, à 5 minutes à pied de la gare de Rouen-Rive-Droite. Une connexion Wi-Fi est disponible gratuitement dans toutes les chambres."", ""Chaque hébergement dispose d'une salle de bains privative avec douche, d'une télévision et d'un bureau."", 'Tous les matins, un petit-déjeuner vous sera servi dans la salle prévue à cet effet.', 'Vous pourrez également profiter de la terrasse et du jardin pendant les mois les plus chauds. ']"
1,https://www.booking.com/hotel/fr/hilton-garden-inn-le-havre-centre.fr.html,Le Havre,,Hilton Garden Inn Le Havre Centre,"8,7","0.070038943824353,49.4721215734269,0.125454970175647,49.5080524065731","[""Le Hilton Garden Inn Le Havre Centre est situé sur le front de mer du Havre, à 350 mètres de la plage et à 300 mètres de l'église Saint-Joseph. Vous séjournerez à proximité du musée des Beaux-Arts André Malraux, de l'école de commerce de Normandie et du musée Maison de l'Armateur. Il propose une réception ouverte 24h/24, un service d'étage et une bagagerie."", 'Tous les logements comprennent un minibar.', ""L'hôtel sert un petit-déjeuner continental."", ""Les lieux d'intérêt à proximité du Hilton Garden Inn Le Havre Centre incluent le Volcan, l'appartement témoin Perret et l'église Saint-Michel. L'aéroport de Deauville-Normandie, le plus proche, est à 15 km. ""]"
2,https://www.booking.com/hotel/fr/the-first.fr.html,Rouen,,"Le First, centre ville terrasse et parking","9,1","1.05554739606558,49.4280597834269,1.11091360393442,49.4639906165731","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le First, centre ville terrasse et parking\xa0! "", ' pour économiser.', ""Doté d'un jardin, l'établissement Le First, centre ville terrasse et parking est situé à Rouen, à 1,2 km de la gare de Rouen Rive Droite, à 2 km du palais des sports Kindarena et à 3,5 km de la gare de Voltaire. Vous séjournerez à 1,2 km de la cathédrale Notre-Dame de Rouen. Vous bénéficierez d'un parking privé sur place et d'une connexion Wi-Fi gratuite."", 'Cet appartement comprend une chambre, une salle de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur le jardin.', ""Vous séjournerez à 4,5 km de la gare de l'hôtel de ville de Soteville et à 5,3 km de la station de tramway 14-juillet de Rouen. L'aéroport de Rouen, le plus proche, est implanté à 14 km. ""]"
3,https://www.booking.com/hotel/fr/quiet-corner.fr.html,Colmar,,Quiet Corner,"9,3","7.3416144181696,48.0541797971299,7.3954866506164,48.0901106302761","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Quiet Corner\xa0! "", ' pour économiser.', ""Situé à Colmar, à 1,9 km de la gare, le Quiet Corner propose un casino, une connexion Wi-Fi gratuite et une réception ouverte 24h/24. Offrant une vue sur la ville, cet hébergement dispose d'un balcon."", 'Cet appartement comprend une chambre, une salle de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur le jardin.', ""Vous pourrez profiter d'une terrasse. Lors de votre séjour au Quiet Corner, vous pourrez faire de la randonnée et du ski à proximité ou profiter du jardin."", ""Vous séjournerez à 1 km de la collégiale Saint-Martin et à 1,4 km de la Maison des Têtes. L'aéroport de Colmar-Houssen, le plus proche, est implanté à 5 km. ""]"
4,https://www.booking.com/hotel/fr/le-surcouf.fr.html,Saint-Malo,,Brit Hotel Le Surcouf,"7,7","-2.02162021161755,48.6397697027529,-1.96712500093739,48.6757005358991","['Situé dans le paisible quartier de Courtoisville, à 150 mètres de la plage et à 5 minutes des thermes, le Brit Hotel propose des chambres charmantes avec connexion Wi-Fi gratuite.', 'Toutes les chambres avec salle de bains privative du Brit Hotel Le Surcouf sont non-fumeurs. Lumineuses et modernes, elles sont décorées dans des tons violet, beige et orange. Chaque étage arbore une gamme de couleurs différente.', ""Vous pourrez dégustez un délicieux petit-déjeuner continental à l'hôtel avant de partir à la découverte de Saint-Malo. Pour les sportifs, une école de surf est implantée à proximité. ""]"
5,https://www.booking.com/hotel/fr/le-nautilus.fr.html,Saint-Malo,,Hôtel Le Nautilus,"9,1","-2.05218929112746,48.6327616394377,-1.99770165490528,48.6686924725839","[""L'Hôtel Le Nautilus occupe un bâtiment rénové du XVIIe siècle situé dans la ville fortifiée de Saint-Malo. Cet hôtel propose un bar, une bagagerie et un salon commun. L'établissement se trouve à 2 minutes à pied de la cathédrale Saint-Vincent et à 50 mètres de la plage. L'établissement propose gratuitement 4 vélos néerlandais, sous réserve de disponibilité."", ""Toutes les chambres insonorisées disposent d'un bureau et d'une télévision par satellite. La salle de bains privative est pourvue d'une douche, d'un sèche-cheveux et d'articles de toilette gratuits. Le linge de lit a été surclassé pour un sommeil de qualité 5 étoiles."", ""L'Hôtel Le Nautilus se trouve à 300 mètres du port de plaisance de Saint-Malo et à 50 mètres de plusieurs restaurants. L'aéroport de Rennes est à 80 km et une connexion Wi-Fi est disponible gratuitement. ""]"
6,https://www.booking.com/hotel/fr/l-europe.fr.html,Colmar,,Hotel L'Europe,"8,1","7.37693309831155,48.0592408008253,7.43081062984931,48.0951716339715","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel L'Europe\xa0! "", ' pour économiser.', 'Situé dans le Grand Est, l’Hotel L’Europe est installé à seulement 4 km du centre-ville de Colmar.', ""L'Hotel L'Europe vous propose des chambres climatisées dotées d'une connexion Wi-Fi gratuite et d'une télévision à écran plat diffusant des chaînes internationales. Certains logements comportent également un minibar."", ""Le restaurant Le Comptoir d'Henri vous servira une cuisine traditionnelle française préparée avec des produits frais du marché. Lors de votre séjour à l’hôtel, vous pourrez profiter du restaurant sur place ouvert tous les soirs, sauf le dimanche. Le bar est ouvert de 16h00 à minuit."", 'L’Hotel L’Europe se trouve à 15 minutes en voiture de la gare de Colmar et à 3 km des autoroutes A35 et E25. Un parking public est disponible gratuitement. ']"
7,https://www.booking.com/hotel/fr/kyriad-colmar-cita-c-administrative.fr.html,Colmar,,Kyriad Colmar Centre Unterlinden,"8,3","7.3303559486254,48.0680498163913,7.38424270707529,48.1039806495375","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Kyriad Colmar Centre Unterlinden\xa0! "", ' pour économiser.', ""Situé à 650 mètres du centre-ville de Colmar, au cœur de l'Alsace, le Kyriad Colmar Centre Unterlinden propose une connexion Wi-Fi gratuite et un coin salon. Le parc des expositions est à seulement à 1 km"", ""Affichant une décoration moderne, les chambres sont spacieuses. Elles comprennent toutes un plateau de courtoisie et une salle de bains privative équipée d'un sèche-cheveux."", 'Cet établissement sert un petit-déjeuner buffet tous les matins. Des plateaux-repas sont disponibles sur demande.', ""Le parking sur place est accessible gratuitement, sous réserve de disponibilité. La gare de Colmar se trouve à 2 km. Vous séjournerez à 1 heure de route de Strasbourg et à 3 km de l'aéroport de Colmar. ""]"
8,https://www.booking.com/hotel/fr/ibis-colmar-horbourg-wihr.fr.html,Colmar,,Ibis Colmar Est - Hotel Restaurant en Alsace,"7,4","7.37585850859318,48.059937907668,7.42973677014675,48.0958687408142","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Ibis Colmar Est - Hotel Restaurant en Alsace\xa0! "", ' pour économiser.', ""L'établissement ibis Colmar East - Hotel Brasserie en Alsace est situé à 5 km de la route des vins d'Alsace et à 10 km de Kaysersberg, Riquewihr et Eguisheim. La connexion Wi-Fi est gratuite dans l’ensemble de l’établissement."", ""Les 86 chambres sont confortables et disposent toutes d’une salle de bains privative pourvue d’une baignoire. L'hôtel comprend également une brasserie alsacienne, la WinStub, ainsi qu’une terrasse, un parking gratuit et des places de stationnement sécurisées."", ""Tous les matins, vous pourrez déguster un petit-déjeuner buffet composé de mets sucrés et salés tels que des œufs, une salade de fruits, des yaourts et des jus de fruits. Vous aurez également la possibilité de savourer des viennoiseries cuites sur place, des madeleines fraîches ainsi qu’une boisson chaude et un fruit à emporter. L'établissement est un boutique hôtel."", 'Du matériel de repassage et un sèche-cheveux vous seront fournis sur demande.', ""L'ibis Colmar Est - Hotel Brasserie en Alsace se trouve à 5 minutes de route de la vieille ville de Colmar. Vous pourrez flâner dans le quartier de la Petite Venise, visiter le musée du jouet ou admirer l'Altarpie d'Isenheim au musée Unterlinden. ""]"
9,https://www.booking.com/hotel/fr/colmar-centre-unterlinden.fr.html,Colmar,,Mercure Colmar Centre Unterlinden,"8,0","7.33023650312521,48.0630953787306,7.38411807155511,48.0990262118768","[""Installé à 2 minutes à pied du musée Unterlinden et à 13 minutes de marche de la petite Venise, dans le centre-ville de Colmar, le Mercure Colmar Centre Unterlinden propose des suites et chambres insonorisées et climatisées, équipées d'une télévision par satellite, ainsi que d'une connexion Wi-Fi gratuite."", ""Chaque matin, le Mercure Colmar Centre Unterlinden prépare un petit-déjeuner buffet complet que vous pourrez déguster dans l'intimité de votre chambre. Le bar Les Cepages sert un grand choix de vins alsaciens et de collations."", 'Vous pourrez vous détendre sur la terrasse extérieure et lire les journaux quotidiens fournis par le Mercure Colmar. La réception est ouverte 24h/24 et des services de blanchisserie sont dispensés.', ""Le Mercure Colmar Centre Unterlinden dispose d'une salle de sport, d'un sauna et d'une douche sensorielle."", ""L'établissement est à 2 km de la gare TGV de Colmar. Les vignobles d'Alsace et ses villages pittoresques se situent dans les environs du Mercure. Vous profiterez d'un parking privé couvert, accessible par un ascenseur. ""]"
